Base/ Core Mechanics,,,,Retention,,,,Community,,,,Mastery,,
No,Feature,Player Value,,No,Feature,Player Value,,No,Feature,Player Value,,No,Feature,Player Value
1,Tank Class,,,1,Garage - Tank Pool,,,1,Friend,,,1,Elo system,
2,Weapon,,,2,Garage - Decoration,,,2,Chat,,,2,Tournament,
3,Player Inventory (Garage),,,3,"Daily, Weekly Quest/ Task",,,3,Voice,,,3,,
4,PvE (campaign),,,4,[PvP] Hide & Seek,,,4,Social connect,,,4,,
5,"PvP (3vs3, 5vs5)",,,5,[PvP] Flag,,,5,Party,,,5,,
6,Gacha system,,,6,[PvP] Death match,,,6,Clan,,,6,,
7,Items,,,7,[PvP] Outpost Breaker,,,7,Highlight,,,7,,
8,Match Matching,,,8,[PvP] Rescue mission,,,8,Notification,,,8,,
9,Map,,,9,[PvP] Beach Defense,,,9,Gift system,,,9,,
10,Artifact,,,10,,,,10,,,,10,,
11,Rewards system,,,11,,,,11,,,,11,,
12,Achievement,,,12,,,,12,,,,12,,
13,Economy System,,,,,,,,,,,,,
