Chỉ số,Tên,Design Weight,Giải thích ngắn,,,,,,,,,,,,,,,,
HP,Health,1.2,Sống lâu tăng thời gian gây DPS,,,,,,,,,,,,,,,,
Speed,Movement Speed,1.5,"Ảnh hưởng né tránh, kiểm soát vị trí",,,,,,,,,,,,,,,,
Damage,Base Damage,1,Giá trị sát thương cơ bản,,,,,,,,,,,,,,,,
Reload Time,Reload Speed,0.8,Ảnh hưởng nhưng không trực tiếp,,,,,,,,,,,,,,,,
Fire Rate,Shots per second,1.5,Quyết định tổng DPS thực tế,,,,,,,,,,,,,,,,
Projectile Speed,Bullet Velocity,0.5,"Tác động nhỏ, phản ứng/né tránh",,,,,,,,,,,,,,,,
Range,Attack Range,0.7,Có lợi nhưng chỉ ở vài tình huống,,,,,,,,,,,,,,,,
Magazine Size,Amo Capacity,0.6,Có ích nhưng mang tính chu kỳ – reload bị tác động bởi chiến thuật và thiết kế clip size.,,,,,,,,,,,,,,,,
Projectile Count,Bullets/Fire,1.1,Cực kỳ quan trọng trong các thiết kế “burst” hoặc shotgun – ảnh hưởng trực tiếp đến lượng damage đầu ra 1 lần bắn.,,,,,,,,,,,,,,,,
DPS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Độ lệch WI giữa các class,Mức đánh giá,Ý nghĩa trong balancing,,,,,,,,,,,,,,,,,
≤ 0.1,Cân bằng tuyệt đối,"Dành cho esports, PvP công bằng hoàn hảo (ví dụ: Overwatch Pro)",,,,,,,,,,,,,,,,,
≤ 0.3,Cân bằng nâng cao,"Được xem là rất ổn với đa phần PvP/PvE game, không cần chỉnh thêm",,,,,,,,,,,,,,,,,
≤ 0.5,Cân bằng tốt,Chấp nhận được nếu class có vai trò khác biệt rõ,,,,,,,,,,,,,,,,,
0.5 – 1.0,Cần theo dõi kỹ,"Có thể dẫn đến meta lệch, người chơi chọn class “trội hơn”",,,,,,,,,,,,,,,,,
> 1.0,Mất cân bằng rõ rệt,,,,,,,,,,,,,,,,,,
